counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
4,C,6433,2,1,54,925.2,283.6,73.5
4,C,6433,3,2,57,925.2,253.6,55.15
4,C,6433,12,3,51,925.2,283.6,73.3
4,C,6433,19,4,57,925.2,253.6,55.05
4,C,6433,54,5,53,925.2,283.6,73.1
4,C,6433,84,6,60,925.2,253.6,54.5
4,C,6433,152,7,55,925.2,283.6,73
4,C,6433,204,8,60,925.2,253.6,54.1
4,C,6433,284,9,53,925.2,283.6,72.8
4,C,6433,354,10,55,925.2,253.6,54.01
4,C,6433,412,11,47,925.2,283.6,72.5
4,C,6433,468,12,61,925.2,253.6,53.8
5,C,1037,1,1,54,925.2,283.6,73.5
5,C,1037,2,2,57,925.2,253.6,55.15
5,C,1037,4,3,51,925.2,283.6,73.3
5,C,1037,5,4,57,925.2,253.6,55.05
5,C,1037,9,5,53,925.2,283.6,73.1
5,C,1037,15,6,60,925.2,253.6,54.5
5,C,1037,19,7,55,925.2,283.6,73
5,C,1037,23,8,60,925.2,253.6,54.1
5,C,1037,31,9,53,925.2,283.6,72.8
5,C,1037,38,10,55,925.2,253.6,54.01
5,C,1037,44,11,47,925.2,283.6,72.5
5,C,1037,49,12,61,925.2,253.6,53.8
6,C,353,1,1,54,925.2,283.6,73.5
6,C,353,2,2,57,925.2,253.6,55.15
6,C,353,3,3,51,925.2,283.6,73.3
6,C,353,5,4,57,925.2,253.6,55.05
6,C,353,8,5,53,925.2,283.6,73.1
6,C,353,11,6,60,925.2,253.6,54.5
6,C,353,13,7,55,925.2,283.6,73
6,C,353,14,8,60,925.2,253.6,54.1
6,C,353,20,9,53,925.2,283.6,72.8
6,C,353,24,10,55,925.2,253.6,54.01
6,C,353,30,11,47,925.2,283.6,72.5
6,C,353,35,12,61,925.2,253.6,53.8
7,C,639,1,1,54,925.2,283.6,73.5
7,C,639,2,2,57,925.2,253.6,55.15
7,C,639,4,3,51,925.2,283.6,73.3
7,C,639,5,4,57,925.2,253.6,55.05
7,C,639,8,5,53,925.2,283.6,73.1
7,C,639,11,6,60,925.2,253.6,54.5
7,C,639,17,7,55,925.2,283.6,73
7,C,639,23,8,60,925.2,253.6,54.1
7,C,639,31,9,53,925.2,283.6,72.8
7,C,639,38,10,55,925.2,253.6,54.01
7,C,639,47,11,47,925.2,283.6,72.5
7,C,639,54,12,61,925.2,253.6,53.8
